id_server,date,time_begin,time_end,title,subtitle,info,id_place,place_text,image_url,highlight
1,2017-10-28,19:00,22:00,V CASA DEL TERROR,Monstruos de cine… o no,"<p>Un reconocido director de cine, Al &Aacute;danoff, ha estado coleccionando criaturas desde los or&iacute;genes del terror en el <strong>s&eacute;ptimo arte</strong>. <br />Sus criaturas y lo paranormal est&aacute;n pululando por la <strong>Casa Tap&oacute;n</strong>. Entrada gratuita.</p>
<p>Zombies al acecho por la calle Mayor.</p>
<p><strong>Y... mejor no resistirse</strong>, y acceder a la invitaci&oacute;n, si un zombie al acecho insiste en que los viandantes de la calle Mayor la visiten. (Captaci&oacute;n de participantes a trav&eacute;s de una din&aacute;mica de difusi&oacute;n&hellip; &iquest;Crees que podr&aacute;s escapar?)</p>",6,,,1
2,2017-10-29,19:00,,Poetas descarnados en el balcón,,<p>Disfruta de una sesi&oacute;n de poes&iacute;a en la calle.</p>,6,,http://www.marchazombiealcala.es/headers/poetas.jpg,0
3,2017-10-29,19:00,22:00,V CASA DEL TERROR,Monstruos de cine… o no,"<p>Un reconocido director de cine, Al &Aacute;danoff, ha estado coleccionando criaturas desde los or&iacute;genes del terror en el <strong>s&eacute;ptimo arte</strong>. <br />Sus criaturas y lo paranormal est&aacute;n pululando por la <strong>Casa Tap&oacute;n</strong>. Entrada gratuita.</p>
<p>Zombies al acecho por la calle Mayor.</p>
<p><strong>Y... mejor no resistirse</strong>, y acceder a la invitaci&oacute;n, si un zombie al acecho insiste en que los viandantes de la calle Mayor la visiten. (Captaci&oacute;n de participantes a trav&eacute;s de una din&aacute;mica de difusi&oacute;n&hellip; &iquest;Crees que podr&aacute;s escapar?)</p>",6,,,1
4,2017-10-31,18:00,,Pasacalles de apertura,¡A todo ritmo!,"<p><strong>Pasacalles a todo ritmo</strong>, malabaristas, actores, brujas, bailarines&hellip;</p>
<p>El cine y glamour de Hollywood llegan al <strong>casco hist&oacute;rico de Alcal&aacute;</strong>&hellip; hasta que la noche de neblina invade las calles.</p>
<p><em>Salida de Plaza de Palacio, Plaza de los Irlandeses y Plaza de Santos Ni&ntilde;os.</em></p>",-1,"Pzas: Palcio, Irlandeses y Stos Niños",http://www.marchazombiealcala.es/headers/brass.jpg,0
5,2017-10-31,18:30,,Truco o trato,Actividades infantiles,"<h3><strong>18:30</strong> <strong>'Cuentro de Brujas'</strong></h3>
<p>Teatro Mutis <br />Este cuento relata las injustas <strong>persecuciones</strong> que sufren muchas personas a las que se las acusa de malvadas cuando no son m&aacute;s que diferentes, pobres o rebeldes. Lo hace a trav&eacute;s de unos personajes algo olvidados por la historia, pero muy presentes en el imaginario infantil gracias a los cuentos: <strong>las brujas</strong>.</p>
<h3><strong>19:30</strong> <strong>Talleres terror&iacute;ficos</strong>:</h3>
<p>Traum&oacute;tropos, Marionetas y Murci&eacute;lagos Miedo-Retos (Juegos sensoriales): <br /><strong>&iexcl;Pon a prueba tus sentidos sin miedo!</strong></p>
<p>Animaci&oacute;n de calle: <em>&ldquo;Tres brujas granujas&rdquo;</em>.</p>
<ul>
<li>Entrenamiento de vuelo en escoba.</li>
<li>Recetas de pociones majaretas.</li>
<li>Lectura del futuro en bola m&aacute;gica.</li>
</ul>",4,,http://www.marchazombiealcala.es/headers/kids.jpg,0
6,2017-10-31,19:30,,"1, 2, 3... ¡Acción!",Teatro y cabaret,"<p>Doble sesi&oacute;n de teatro, con representaciones cada media hora.</p>
<h3>&lsquo;Cementeria, el cabaret... o cadavert&rsquo;</h3>
<p>Pase 1: 19:30<br />Pase 2: 20:30</p>
<h3>&lsquo;Kanbahiota Kabaret en el mundo del circo&rsquo;</h3>
<p>Pase 1: 20:00<br />Pase 2: 21:30</p>
<p><strong>&lsquo;Cementeria, el cabaret... o cadavert&rsquo;</strong><br /> <strong>Dir.</strong> Rodrigo Puertas<br /> <strong>OH Project, generacionARTes, Mopka</strong><br /> <strong>Reparto</strong>: Ana Isabel Rodr&iacute;guez, Ricardo Gal&aacute;n y Naty Mart&iacute;n.<br /> Coreograf&iacute;a: Erina Sanders y Emma Melikyan.<br /> Bailarines:Cristina Morales, Marta Rodr&iacute;guez, Marta Gal&aacute;n, Laura Lizurej, Laura Yrisarri, Paula Pinz&oacute;n, Lidia C&aacute;novas y Cristina Gonz&aacute;lez.<br /> <br /> <em>Los muertos salen de sus tumbas para volver a disfrutar de los placeres de la vida que la Muerte les arrebat&oacute; en su d&iacute;a. Sentir de nuevo la brisa de la fr&iacute;a noche o poder paladear un dulce son cosas que ya no pueden realizar como cuando estaban vivos. Esta es la noche en la que volver&aacute;n a recuperar el aliento a no ser que la Muerte vuelva a imped&iacute;rselo...</em></p>
<p>&nbsp;<strong>&lsquo;Kanbahiota Kabaret en el mundo del circo&rsquo;</strong></p>
<p><em>Un espect&aacute;culo de la compa&ntilde;&iacute;a Kanbahiota Trup ambientado en los felices a&ntilde;os 20 que busca, a trav&eacute;s del circo, la poes&iacute;a escondida en cada rinc&oacute;n de la vida, donde lo cotidiano puede ser sublime y lo sublime, cotidiano. Diversos personajes alimentan la escena con acrobacias, malabares, acrobacias a&eacute;reas y clown, entre otros, para contarnos breves de amor, odio, vida y muerte al son de los tres m&uacute;sicos que los acompa&ntilde;an en directo guiando el viaje. Un espect&aacute;culo en el que el circo, el teatro, la danza y las artes pl&aacute;sticas se abrazan para ofrecernos un universo m&aacute;gico y sencillo.</em></p>",3,,http://www.marchazombiealcala.es/headers/cadavert.jpg,0
7,2017-10-31,19:30,,Mueve tu esqueleto,Conciertos y bailes,"<h3><span style=""color: #C81832;""><strong>19:30</strong></span> - <strong>Actuaci&oacute;n de 5 Cats Swinging</strong></h3>
<p>Joven banda de jazz tradicional de Nueva Orleans.<br />Viejos cl&aacute;sicos de <strong>swing, temas de pel&iacute;culas, series y videojuegos</strong>, y alg&uacute;n que otro tema propio.</p>
<h3><br /><strong><span style=""color: #C81832;"">20:00</span></strong> - Hipnotic Dance Nigth&hellip; a ritmos de pel&iacute;culas</h3>
<p><strong>Kizombie</strong> para danzar en la oscuridad y otros atormentados ritmos. El famoso <strong>Thriller</strong>, una performance del grupo de <strong>Hip Hop</strong> y m&aacute;s sorpresas.</p>",2,,http://www.marchazombiealcala.es/headers/thriller.jpg,0
8,2017-10-31,20:30,,Presentación de la cerveza 7MZ,Cata de cerveza,"<p>El d&iacute;a 31 de Octubre, a las 20:00 horas se proceder&aacute; a presentar la <strong>cerveza artesana 7MZ Zombie Pumpkin</strong>, una cerveza artesana realizada con <strong>calabaza</strong> asada, de 5,5 grados, elaborada por la cervecera n&oacute;mada alcalaina <a href=""https://www.facebook.com/cervezasLaGataNegra/"" target=""_blank"" rel=""noopener"">La Gata Negra</a>. Igualmente se realizara una cata comentada por su maestro cervecero, Javier Pi&ntilde;uela, pudiendo probar los asistentes dicha cerveza ya que se instalara un grifo enfrente de la tienda <a href=""https://www.facebook.com/LaBirroteca/"" target=""_blank"" rel=""noopener"">La Birroteca</a>.</p>",2,,http://www.marchazombiealcala.es/headers/lagata.jpg,0
9,2017-10-31,21:00,,Concurso de disfraces,Inscripción a partir de las 19:30,"Entrega de primer y segundo premio en las categorías individual adultos, grupos e infantil.",2,,,0
10,2017-10-31,20:00,,DEAD TALKS,Charlas culturales,"<p><strong>&iexcl;Tienes una cita en Santa Mar&iacute;a la Rica!</strong> <br />All&iacute;, a partir de las 19:30, los expertos tomar&aacute;n la palabra para hablar de terror.</p>
<h3><br /><span style=""color: #C81832;"">19:30</span> - Presentaci&oacute;n II Edici&oacute;n de ZinemaZombies</h3>
<p>Enrique Sabat&eacute; e Ile M&aacute;rquez presentan sus nuevos <strong>poemas basados en el mundo del cine</strong>.</p>
<h3><span style=""color: #C81832;"">20:00</span> - Terror&iacute;ficas charlas de Halloween</h3>
<p><strong>El mal en las ciudades</strong>, por Servando Rocha (La Felguera)<br /><em>Responsable de la sociedad secreta La Felguera y editor de numerosos vol&uacute;menes sobre ocultismo, sociedades secretas y cr&iacute;menes, Servando Rocha nos desvelar&aacute; c&oacute;mo el mal anida en los rincones y callejones m&aacute;s oscuros de los lugares donde vivimos.</em><br /><br /><strong>Ella me hizo gritar</strong>, por Henar &Aacute;lvarez (Likes #0, El Confidencial)<br /><em>La guionista, columnista y presentadora analizar&aacute; c&oacute;mo en los &uacute;ltimos a&ntilde;os han surgido varias directoras que reivindican su espacio en el cine de terror, con puntos de vista arriesgados y novedosos y una voz propia dispuesta a hacernos temblar del susto.</em> <br /><br /><strong>Stranger Kings</strong>, por John Tones (Canino Magazine, Cineman&iacute;a, La Kingpedia) <br /><em>En esta charla, el periodista especializado en cine de terror nos desvelar&aacute; c&oacute;mo los universos creados por el escritor Stephen King est&aacute;n m&aacute;s vivos que nunca gracias a series como Stranger Things o la nueva adaptaci&oacute;n de su c&eacute;lebre novela IT.</em></p>",7,,http://www.marchazombiealcala.es/headers/talks.jpg,0
