id_server,date,time_begin,time_end,title,subtitle,info,id_place,place_text,image_url,highlight
1,2017-10-28,19:00,22:00,CASA DEL TERROR (V Edición),Monstruos de cine… o no,"Un reconocido director de cine, Al Ádanoff, ha estado coleccionando criaturas desde los orígenes del terror en el séptimo arte. Sus criaturas y lo paranormal están pululando por la Casa Tapón. Entrada gratuita.

Zombies al acecho por la calle Mayor.

Y... mejor no resistirse, y acceder a la invitación, si un zombie al acecho insiste en que los viandantes de la calle Mayor la visiten.
(Captación de participantes a través de una dinámica de difusión… ¿Crees que podrás escapar?)",6,,,1
2,2017-10-29,19:00,,Poetas descarnados en el balcón,,,6,,,0
3,2017-10-29,19:00,22:00,CASA DEL TERROR (V Edición),Monstruos de cine… o no,"Un reconocido director de cine, Al Ádanoff, ha estado coleccionando criaturas desde los orígenes del terror en el séptimo arte. Sus criaturas y lo paranormal están pululando por la Casa Tapón. Entrada gratuita.

Zombies al acecho por la calle Mayor.

Y... mejor no resistirse, y acceder a la invitación, si un zombie al acecho insiste en que los viandantes de la calle Mayor la visiten.
(Captación de participantes a través de una dinámica de difusión… ¿Crees que podrás escapar?)
",6,,,1
4,2017-10-31,18:00,,Pasacalles de apertura,,"Pasacalles a todo ritmo, malabaristas, actores, brujas, bailarines… Salida de Plaza de Palacio, Plaza de los Irlandeses y Plaza de Santos Niños. El cine y glamour de Hollywood llegan al casco histórico de Alcalá… hasta que la noche de neblina invade las calles.",-1,,,0
5,2017-10-31,18:30,,Truco o trato,Actividades infantiles,"18:30 'Cuentro de Brujas'
Teatro Mutis

Este cuento relata las injustas persecuciones que sufren muchas personas a las que se las acusa de malvadas cuando no son más que diferentes, pobres o rebeldes. Lo hace a través de unos personajes algo olvidados por la historia, pero muy presentes en el imaginario infantil gracias a los cuentos: las brujas.

19:30

Talleres terroríficos: Traumótropos, Marionetas y Murciélagos Miedo-Retos (Juegos sensoriales): ¡Pon a prueba tus sentidos sin miedo!

Animación de calle: “Tres brujas granujas”. Entrenamiento de vuelo en escoba. Recetas de pociones majaretas. Lectura del futuro en bola mágica.",4,,,0
6,2017-10-31,19:30,,"1, 2, 3... ¡Acción!",Teatro y cabaret,"Doble sesión de teatro, con representaciones cada media hora.

19:30 y 20:30 - ‘Cementeria, el cabaret... o cadavert’
20:00 y 21:30 - ‘Kanbahiota Kabaret en el mundo del circo’

‘Cementeria, el cabaret... o cadavert’
Dir. Rodrigo Puertas
OH Project, generacionARTes, Mopka
Reparto: Ana Isabel Rodríguez, Ricardo Galán y Naty Martín.
Coreografía: Erina Sanders y Emma Melikyan.
Bailarines:Cristina Morales, Marta Rodríguez, Marta Galán, Laura Lizurej, Laura Yrisarri, Paula Pinzón, Lidia Cánovas y Cristina González.

Los muertos salen de sus tumbas para volver a disfrutar de los placeres de la vida que la Muerte les arrebató en su día. Sentir de nuevo la brisa de la fría noche o poder paladear un dulce son cosas que ya no pueden realizar como cuando estaban vivos. Esta es la noche en la que volverán a recuperar el aliento a no ser que la Muerte vuelva a impedírselo...

‘Kanbahiota Kabaret en el mundo del circo’

Un espectáculo de la compañía Kanbahiota Trup ambientado en los felices años 20 que busca, a través del circo, la poesía escondida en cada rincón de la vida, donde lo cotidiano puede ser sublime y lo sublime, cotidiano. Diversos personajes alimentan la escena con acrobacias, malabares, acrobacias aéreas y clown, entre otros, para contarnos breves de amor, odio, vida y muerte al son de los tres músicos que los acompañan en directo guiando el viaje. Un espectáculo en el que el circo, el teatro, la danza y las artes plásticas se abrazan para ofrecernos un universo mágico y sencillo.",3,,,0
7,2017-10-31,19:30,,Mueve tu esqueleto,Conciertos y bailes,"19:30 Actuación de 5 Cats Swinging

Joven banda de jazz tradicional de Nueva Orleans.
Viejos clásicos de swing, temas de películas, series y videojuegos, y algún que otro tema propio.

20:00 Hipnotic Dance Nigth… a ritmos de películas

Kizombie para danzar en la oscuridad y otros atormentados ritmos. El famoso Thriller, una performance del grupo de Hip Hop y más sorpresas.",2,,,0
8,2017-10-31,20:30,,Presentación de la cerveza 7MZ,Cata de cerveza,Cata de cerveza,2,,,0
9,2017-10-31,21:00,,Concurso de disfraces,Inscripción a partir de las 19:30,"Entrega de primer y segundo premio en las categorías individual adultos, grupos e infantil.",2,,,0
10,2017-10-31,20:00,,DEAD TALKS,Charlas culturales,"¡Tienes una cita en Santa María la Rica! Allí, a
partir de las 19:30, los expertos tomarán la palabra para hablar de terror.

19:30 Presentación II Edición de ZinemaZombies
Enrique Sabaté e Ile Márquez presentan sus nuevos poemas basados en el mundo del cine.

20:00 Terroríficas charlas de Halloween

El mal en las ciudades, por Servando Rocha (La Felguera)
Responsable de la sociedad secreta La Felguera y editor de numerosos volúmenes sobre ocultismo, sociedades secretas y crímenes, Servando Rocha nos desvelará cómo el mal anida en los rincones y callejones más oscuros de los lugares donde vivimos.

Ella me hizo gritar, por Henar Álvarez (Likes #0, El Confidencial)
La guionista, columnista y presentadora analizará cómo en los últimos años han surgido varias directoras que reivindican su espacio en el cine de terror, con puntos de vista arriesgados y novedosos y una voz propia dispuesta a hacernos temblar del susto. 

Stranger Kings, por John Tones (Canino Magazine, Cinemanía, La Kingpedia) 
En esta charla, el periodista especializado en cine de terror nos desvelará cómo los universos creados por el escritor Stephen King están más vivos que nunca gracias a series como Stranger Things o la nueva adaptación de su célebre novela IT.
",7,,,0
11,2017-10-31,21:30,,7MZ: Una de Romanos,7ª Marcha zombie de AdH,"Algo de info... 
Salida desde Plaza de Santos Niños, por Calle Mayor, hacia Plaza de Cervantes.",5,,http://triskelapps.com/wp-content/uploads/2017/10/cabecera-form-e1508764756785.jpg,1
12,2017-10-31,22:45,,Concierto Clausura 7MZ,Concierto multitudinario,"Como colofón a la Marcha Zombie, se celebrará un concierto multitudinario con las actuaciones
de Coro Círculo, OFC25V, Big Band, The Musselman, The Iluminados y algún invitado sorpresa.


The Iluminados

""No tenemos botas de vaquero, ni tabaco de mascar, no tenemos peto ni sombrero, ni un arma en la boca. Todo es nos da un poco igual, es así, GEORGIA NUNCA HA ESTADO ON MY MIND"". The Iluminados es un grupo de Alcalá de Henares, formado por músicos con experiencia y participación en otros proyectos. Las composiciones y letras son de César Ruiz Nodar. Sus canciones son directas, con letras cuidadas y caracterizadas por un enfoque musical festivo, acústico y a la vez moderno gracias a la riqueza de instrumentos, sonidos y producción. ¡Es el sonido del Delta del Torote!

Musselman

Musselman se caracteriza por un sonido cálido y preciso cuyas composiciones son sinceras y están alejadas de la producción artificial. La voz de Manuel Flecha está arropada por un sonido acústico, con reminiscencias folk y rock, tendentes por momentos a la psicodelia.

En Musselman se aprecia la influencia de artistas como Incredible String Band, Nick Drake, Quicksilver essenger Service, Magafaun, Bon Iver, oven Hand o Radiohead, sin perder por ello ni un ápice de personalidad.

Big Band de Alcalá
Proyecto que nace en el Taller de Música de la Concejalía de Juventud del Ayuntamiento de Alcalá de Henares con profesores y alumnos destacados. El repertorio de la Big Band de Alcalá está compuesto por temas clásicos de las grandes orquestas de la época del swing que, en la versión de los arreglistas más destacados del momento, dan un sello personal al conjunto. Además, se trabajan los clásicos estándar para big band y arreglos para músicas actuales como funky, rock, pop, etc.

OFC25V

La Orquesta Filarmónica Cervantina de las 25 Villas (OFC25V) es un proyecto musical conformado a partir de la coordinación de numerosas agrupaciones musicales de nuestro entorno. La OFC25V cuenta con una Orquesta Sinfónica (la que se presenta en esta ocasión), una orquesta juvenil, una orquesta infantil, diversas agrupaciones menores y diversas secciones locales, además de un proyecto educativo y artístico propio que ha sido de inmediato reconocido por diferentes instituciones y orquestas colaboradoras.

Coro Círculo
Somos una asociación sin ánimo de lucro que dedicamos nuestro tiempo libre a cantar. La música que hacemos es variada y la podríamos describir como música coral.

",1,,,0
